16388,04,	2490:	65,99%	
16420,377,	2495:	66,99%	
16451,662,	2500:	67,27%	
16482,844,	2505:	67,06%	
16514,19,	2510:	69,07%	
16547,275,	2515:	68,32%	
16579,908,	2520:	67,96%	
16612,816,	2525:	67,54%	
16645,67,	2530:	67,54%	
16677,828,	2535:	68,54%	
16709,273,	2540:	67,16%	
16741,596,	2545:	67,33%	
16773,705,	2550:	66,54%	
16805,236,	2555:	67,43%	
16839,008,	2560:	64,89%	
16871,469,	2565:	67,92%	
16902,76,	2570:	67,59%	
16933,621,	2575:	68,04%	
16965,414,	2580:	67,89%	
16996,877,	2585:	66,94%	
17029,068,	2590:	68,20%	
17060,416,	2595:	67,25%	
17090,258,	2600:	67,81%	
17122,084,	2605:	66,97%	
17152,893,	2610:	65,77%	
17185,531,	2615:	66,73%	
17217,057,	2620:	66,16%	
17248,896,	2625:	68,52%	
17280,043,	2630:	67,33%	
17311,965,	2635:	66,44%	
17346,027,	2640:	65,49%	
17377,537,	2645:	66,63%	
17409,469,	2650:	67,35%	
17441,848,	2655:	67,36%	
17473,107,	2660:	65,94%	
17504,088,	2665:	67,21%	
17537,031,	2670:	65,92%	
17568,066,	2675:	67,95%	
17599,787,	2680:	68,22%	
17631,945,	2685:	67,79%	
17664,549,	2690:	67,09%	
17698,049,	2695:	68,31%	
17728,957,	2700:	66,62%	
17761,582,	2705:	65,76%	
17794,938,	2710:	67,05%	
17826,252,	2715:	67,69%	
17859,812,	2720:	67,86%	
17890,371,	2725:	66,86%	
17922,244,	2730:	67,22%	
17955,383,	2735:	67,19%	
17987,713,	2740:	66,91%	
18020,232,	2745:	67,63%	
18052,785,	2750:	67,30%	
18085,377,	2755:	67,68%	
18118,252,	2760:	67,16%	
18151,623,	2765:	67,70%	
18182,3,	2770:	67,25%	
18213,225,	2775:	66,77%	
18243,812,	2780:	67,15%	
18277,908,	2785:	67,30%	
18308,873,	2790:	67,61%	
18344,607,	2795:	65,61%	
18376,604,	2800:	67,59%	
18410,336,	2805:	67,61%	
18442,613,	2810:	67,77%	
18476,123,	2815:	66,94%	
18506,225,	2820:	67,43%	
18541,094,	2825:	67,77%	
18577,58,	2830:	65,85%	
18610,328,	2835:	66,83%	
18645,229,	2840:	66,26%	
18681,334,	2845:	66,74%	
18715,363,	2850:	67,09%	
18747,385,	2855:	66,74%	
18781,236,	2860:	67,19%	
18819,475,	2865:	66,83%	
18853,984,	2870:	66,70%	
18888,5,	2875:	67,08%	
18921,744,	2880:	65,26%	
18954,793,	2885:	65,34%	
18987,615,	2890:	65,94%	
19019,629,	2895:	67,61%	
19052,305,	2900:	66,96%	
19083,156,	2905:	66,47%	
19114,371,	2910:	67,81%	
19146,992,	2915:	66,84%	
19179,22,	2920:	66,78%	
19211,6,	2925:	66,58%	
19242,664,	2930:	67,27%	
19276,148,	2935:	66,76%	
19308,928,	2940:	67,50%	
19340,832,	2945:	67,10%	
19374,752,	2950:	66,62%	
19406,504,	2955:	67,54%	
19439,355,	2960:	67,05%	
19471,492,	2965:	67,26%	
19503,908,	2970:	67,64%	
19536,035,	2975:	67,58%	
19568,424,	2980:	66,11%	
19600,691,	2985:	66,73%	
19631,7,	2990:	66,29%	
19664,744,	2995:	65,25%	
19696,273,	3000:	67,80%	
19729,32,	3005:	65,81%	
19761,22,	3010:	67,25%	
19792,809,	3015:	67,02%	
19823,254,	3020:	67,34%	
19854,512,	3025:	66,94%	
19886,084,	3030:	67,19%	
19918,512,	3035:	67,79%	
19951,477,	3040:	65,27%	
19983,408,	3045:	66,69%	
20013,748,	3050:	66,58%	
20045,36,	3055:	67,98%	
20077,637,	3060:	67,91%	
20110,736,	3065:	66,89%	
20143,22,	3070:	67,04%	
20176,549,	3075:	66,81%	
20208,736,	3080:	67,66%	
20240,225,	3085:	67,59%	
20272,219,	3090:	67,98%	
20304,969,	3095:	66,37%	
20336,287,	3100:	66,32%	
20368,512,	3105:	67,91%	
20400,068,	3110:	67,00%	
20431,924,	3115:	66,92%	
20464,7,	3120:	66,98%	
20496,508,	3125:	68,09%	
20527,531,	3130:	67,41%	
20558,56,	3135:	67,28%	
20590,0,	3140:	67,68%	
20622,246,	3145:	66,80%	
20653,684,	3150:	66,86%	
20683,56,	3155:	66,92%	
20716,59,	3160:	66,20%	
20748,232,	3165:	67,90%	
20780,22,	3170:	67,11%	
20811,35,	3175:	67,49%	
